,oid,main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,pmra,pmdec,plx_value,rvz_radvel,otype,otypes,sp_type,U,B,V,G,R,I,J,H,K,CalType
52,3009050,HD  56885,108.96483341948,-54.48961552394,0.0161,0.0129,90,0.174,2.513,1.7574,45.81,*,*|IR|NIR,K2III,,9.920000076293945,8.529999732971191,8.030229568481445,,,6.039000034332275,5.315000057220459,5.0980000495910645,ImagCorr_8.5
53,377528,HD 137971,230.61869953284997,75.39165891237,0.0166,0.0146,90,2.433,2.772,2.1562,5.01,*,*|IR|NIR|RG*,K0,,9.619999885559082,8.479999542236328,8.194890022277832,,,6.570000171661377,6.0320000648498535,5.9039998054504395,ImagCorr_8.5
54,2560587,HD 152145,253.06223677911998,-14.370513711050004,0.0228,0.0111,90,-12.654,-32.601,5.1023,27.71,*,*|IR|NIR,G8/K0IV,,9.729999542236328,8.479999542236328,7.91103982925415,,,5.7829999923706055,5.158999919891357,4.926000118255615,ImagCorr_8.5
55,1924680,HD 108955,187.75574487946,38.16461231267001,0.0155,0.0147,90,-11.443,-1.719,2.2935,10.02,*,*|NIR|RG*,G8III,,9.390000343322754,8.489999771118164,8.261300086975098,,,6.839000225067139,6.381999969482422,6.2789998054504395,ImagCorr_8.5
56,2661197,HD 188403,298.73146618982,2.44024703091,0.027,0.0214,90,-0.626,-4.446,1.66,-14.0,*,*|NIR|UV,B8Ib/II,,8.5,8.479999542236328,8.48882007598877,,,8.418000221252441,8.449000358581543,8.494999885559082,ImagCorr_8.5
57,3289791,HD 106772,184.36213001267998,-80.58522991488,0.0131,0.0142,90,1.085,-9.605,3.6464,-11.44,*,*|NIR|TT*|X,G4III,,9.399999618530273,8.539999961853027,8.218759536743164,,,6.718999862670898,6.357999801635742,6.230999946594238,ImagCorr_8.5
58,11592685,HD 195368,308.03989887648,-39.0221162549,0.022,0.0125,90,2.918,-2.567,2.6802,-22.72,*,*|NIR,K0III+F/G,,9.40999984741211,8.520000457763672,8.325329780578613,,,6.948999881744385,6.498000144958496,6.369999885559082,ImagCorr_8.5
59,156274,HD 239688,322.62831430651,59.18140953289,0.0147,0.0137,90,20.002,23.802,2.7666,-32.86,*,*|IR|NIR|RG*,K2III:,,9.880000114440918,8.529999732971191,8.098039627075195,,,6.145999908447266,5.572000026702881,5.401000022888184,ImagCorr_8.5
60,1504489,HD   7929,19.82587276103,29.217771428540004,0.0235,0.0154,90,10.865,5.09,1.4096,-35.5,*,*|IR|MIR|NIR,K5,,9.812000274658203,8.54699993133545,7.425829887390137,8.704000473022461,,4.900000095367432,4.373000144958496,3.86299991607666,ImagCorr_8.5
61,2286444,HD 129618,220.74603375849,21.772595316789996,0.0094,0.0128,90,18.242,-30.979,8.3207,24.3524,*,*|NIR,G5,,8.949999809265137,8.489999771118164,8.343310356140137,,,7.420000076293945,7.251999855041504,7.216000080108643,ImagCorr_8.5
62,2901721,BD+36  3564,291.89266930698,37.117995785949994,0.0135,0.0163,90,7.208,17.64,1.8556,-78.21,*,*|IR|NIR,K5,,9.90999984741211,8.510000228881836,8.049030303955078,,,6.133999824523926,5.468999862670898,5.249000072479248,ImagCorr_8.5
63,364510,HD 150747,249.09690743511996,72.37375468553,0.0216,0.023,90,0.025,-6.975,2.258,0.81,*,*|NIR|RG*,K0,,9.390000343322754,8.470000267028809,8.243229866027832,,,6.86899995803833,6.443999767303467,6.326000213623047,ImagCorr_8.5
64,2298549,HD 129347,220.74112313341996,-32.80403820984,0.03,0.0447,90,3.265,-4.091,2.9833,1.17,*,*|NIR,G8III,,9.460000038146973,8.470000267028809,8.161009788513184,,,6.603000164031982,6.098999977111816,5.978000164031982,ImagCorr_8.5
65,909032,HD 261498,99.84632024179001,4.050695161730001,0.0209,0.0207,90,-1.201,-2.626,0.7029,39.29,*,*|IR|NIR,G8III,,9.930000305175781,8.529999732971191,7.932759761810303,,,5.765999794006348,5.1529998779296875,4.915999889373779,ImagCorr_8.5
66,2902941,HD 225508,295.81967985637993,36.24197497721,0.0128,0.014,90,6.48,-0.525,1.0277,-14.54,*,*|IR|NIR,K7,,10.220000267028809,8.460000038146973,7.595479965209961,,,5.047999858856201,4.270999908447266,3.9749999046325684,ImagCorr_8.5
67,1537448,HD  15931,38.62583700439,28.640770620619996,0.0205,0.0171,90,-1.517,-2.833,1.6786,28.44,*,*|IR|NIR,K0,,10.079999923706055,8.529999732971191,7.955170154571533,,,5.76800012588501,5.302999973297119,4.816999912261963,ImagCorr_8.5
68,3167322,HD  13852,33.20805506464,-59.28942978797,0.0186,0.0158,90,-16.063,-0.061,9.3061,17.3,*,*|NIR,F6V,,9.010000228881836,8.520000457763672,8.433659553527832,,,7.663000106811523,7.485000133514404,7.447000026702881,ImagCorr_8.5
69,1551528,HD 209773,331.27043818471,37.46763028909999,0.0115,0.0159,90,8.896,2.263,3.0106,11.27,*,*|NIR|RG*,K0,,9.460000038146973,8.470000267028809,8.206669807434082,,,6.75600004196167,6.250999927520752,6.133999824523926,ImagCorr_8.5
70,3468118,HD 198532,313.22421590268993,-50.52215940243,0.0153,0.0139,90,21.985,-9.709,2.9389,-18.53,*,*|NIR,K0III,,9.569999694824219,8.510000228881836,8.264200210571289,,,6.791999816894531,6.296999931335449,6.196000099182129,ImagCorr_8.5
71,3338342,HD 219205,348.67545526749,-48.57807698973,0.0178,0.0189,90,33.856,-23.791,7.3745,-27.47,*,*|NIR,G0V,,9.039999961853027,8.470000267028809,8.331029891967773,,,7.400000095367432,7.151000022888184,7.080999851226807,ImagCorr_8.5
72,1104102,BD+36  1870,131.84808489022,36.45642050139,0.0196,0.0136,90,-18.392,-4.57,1.4474,48.63,*,*|IR|NIR,K2,11.40999984741211,9.899999618530273,8.510000228881836,8.063559532165527,,,6.09499979019165,5.440000057220459,5.267000198364258,ImagCorr_8.5
73,3465783,HD 174894,284.03383172173,-56.52480089379,0.0158,0.0147,90,12.511,-2.455,1.4675,36.51,*,*|IR|NIR,K3III,,9.880000114440918,8.479999542236328,7.917699813842773,,,5.793000221252441,5.086999893188477,4.813000202178955,ImagCorr_8.5
74,272093,HD  31015,73.7132068523,49.03969706964,0.0203,0.0143,90,-1.944,-20.153,3.0356,-2.19,*,*|NIR,K0,,9.649999618530273,8.529999732971191,8.185629844665527,,,6.474999904632568,5.9019999504089355,5.765999794006348,ImagCorr_8.5
75,2640793,HD 173514,281.4365753845,-0.26544801772,0.0479,0.0457,90,2.266,-9.54,3.1791,-12.4,*,*|NIR|UV,B9V,,8.569999694824219,8.529999732971191,8.538860321044922,,,8.312999725341797,8.295000076293945,8.289999961853027,ImagCorr_8.5
76,966633,HD  57047,110.31570010693001,39.09184205978,0.0257,0.0249,90,-9.858,-4.081,2.2436,18.0,*,*|NIR|UV,A0,,8.489999771118164,8.489999771118164,8.460370063781738,,,8.38700008392334,8.375,8.416999816894531,ImagCorr_8.5
77,1019075,HD  64310,118.72596111755999,37.84527199444,0.0194,0.0179,90,36.438,-16.989,8.0988,-10.49,*,*|NIR,F5,,8.9399995803833,8.460000038146973,8.325469970703125,,,7.453999996185303,7.251999855041504,7.224999904632568,ImagCorr_8.5
78,882952,HD  44360,94.95049395269,-35.55284941617,0.0141,0.0154,90,-11.135,-18.148,2.2354,-24.39,*,*|NIR|RG*,G8III,,9.65999984741211,8.510000228881836,8.249030113220215,,,6.668000221252441,6.129000186920166,5.992000102996826,ImagCorr_8.5
79,1794285,HD  96330,166.55262606076,-13.063776246220002,0.0917,0.0833,90,-6.057,-7.537,2.433,-8.23,*,*|NIR,G5/8III/IV(+F),,9.380000114440918,8.489999771118164,8.248760223388672,,,6.8460001945495605,6.456999778747559,6.257999897003174,ImagCorr_8.5
